Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,
2025-01-13 07:51:12,0,12.15,,,,,,,,
2025-01-13 07:51:13,0,12.15,,,,,,,,
2025-01-13 07:51:14,0,12.15,,,,,,,,
2025-01-13 07:51:15,0,12.15,,,,,,,,
2025-01-13 07:51:16,0,12.15,,,,,,,,
2025-01-13 07:51:18,0,12.15,,,,,,,,
2025-01-13 07:51:19,0,12.15,,,,,,,,
2025-01-13 07:51:20,0,12.15,,,,,,,,
2025-01-13 07:51:21,0,12.15,,,,,,,,
2025-01-13 07:51:22,0,12.15,,,,,,,,
2025-01-13 07:51:23,0,12.15,,,,,,,,
2025-01-13 07:51:24,0,12.15,,,,,,,,
2025-01-13 07:51:25,0,12.15,,,,,,,,
2025-01-13 07:51:26,0,12.15,,,,,,,,
2025-01-13 07:51:27,0,12.15,,,,,,,,
2025-01-13 07:51:28,0,12.15,,,,,,,,
2025-01-13 07:51:29,0,12.15,,,,,,,,
2025-01-13 07:51:30,0,12.15,,,,,,,,
2025-01-13 07:51:31,0,12.15,,,,,,,,
2025-01-13 07:51:32,0,12.15,,,,,,,,
2025-01-13 07:51:33,0,12.15,,,,,,,,
2025-01-13 07:51:34,0,12.15,,,,,,,,
2025-01-13 07:51:35,0,12.15,,,,,,,,
2025-01-13 07:51:36,0,12.15,,,,,,,,
2025-01-13 07:51:37,0,12.15,,,,,,,,
2025-01-13 07:51:38,0,12.15,,,,,,,,
2025-01-13 07:51:39,0,12.15,,,,,,,,
2025-01-13 07:51:40,0,12.15,,,,,,,,
2025-01-13 07:51:41,0,12.15,,,,,,,,
2025-01-13 07:51:42,0,12.15,,,,,,,,
2025-01-13 07:51:43,0,12.15,,,,,,,,
2025-01-13 07:51:44,0,12.15,,,,,,,,
2025-01-13 07:51:45,0,12.15,,,,,,,,
2025-01-13 07:51:46,0,12.15,,,,,,,,
2025-01-13 07:51:47,0,12.15,,,,,,,,
2025-01-13 07:51:48,0,12.15,,,,,,,,
2025-01-13 07:51:49,0,12.15,,,,,,,,
2025-01-13 07:51:50,0,12.15,,,,,,,,
2025-01-13 07:51:51,0,12.15,,,,,,,,
2025-01-13 07:51:52,0,12.15,,,,,,,,
2025-01-13 07:51:53,0,12.15,,,,,,,,
2025-01-13 07:51:54,0,12.15,,,,,,,,
2025-01-13 07:51:55,0,12.15,,,,,,,,
2025-01-13 07:51:56,0,12.15,,,,,,,,
2025-01-13 07:51:57,0,12.15,,,,,,,,
2025-01-13 07:51:58,0,12.15,,,,,,,,
2025-01-13 07:51:59,0,12.15,,,,,,,,
2025-01-13 07:52:01,0,12.73,,,,,,,,
2025-01-13 07:52:02,0,12.73,,,,,,,,
2025-01-13 07:52:03,0,12.73,,,,,,,,
2025-01-13 07:52:04,0,12.73,,,,,,,,
2025-01-13 07:52:05,0,12.73,,,,,,,,
2025-01-13 07:52:06,0,12.73,,,,,,,,
2025-01-13 07:52:07,0,12.73,,,,,,,,
2025-01-13 07:52:08,0,12.73,,,,,,,,
2025-01-13 07:52:09,0,12.73,,,,,,,,
2025-01-13 07:52:10,0,12.73,,,,,,,,
2025-01-13 07:52:11,0,12.73,,,,,,,,
2025-01-13 07:52:12,0,12.73,,,,,,,,
2025-01-13 07:52:13,0,12.73,,,,,,,,
2025-01-13 07:52:14,0,12.73,,,,,,,,
2025-01-13 07:52:15,0,12.73,,,,,,,,
2025-01-13 07:52:16,0,12.73,,,,,,,,
2025-01-13 07:52:17,0,12.73,,,,,,,,
2025-01-13 07:52:18,0,12.73,,,,,,,,
2025-01-13 07:52:19,0,12.73,,,,,,,,
2025-01-13 07:52:20,0,12.73,,,,,,,,
2025-01-13 07:52:21,0,12.73,,,,,,,,
