Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,,
2025-01-13 04:49:14,0,11.9,,,,,,,,,
2025-01-13 04:49:15,0,11.9,,,,,,,,,
2025-01-13 04:49:16,0,11.9,,,,,,,,,
2025-01-13 04:49:17,0,11.9,,,,,,,,,
2025-01-13 04:49:18,0,11.9,,,,,,,,,
2025-01-13 04:49:19,0,11.9,,,,,,,,,
2025-01-13 04:49:20,0,11.9,,,,,,,,,
2025-01-13 04:49:21,0,11.9,,,,,,,,,
2025-01-13 04:49:22,0,11.9,,,,,,,,,
2025-01-13 04:49:23,0,11.9,,,,,,,,,
2025-01-13 04:49:24,0,11.9,,,,,,,,,
2025-01-13 04:49:25,0,11.9,,,,,,,,,
2025-01-13 04:49:26,0,11.9,,,,,,,,,
2025-01-13 04:49:27,0,11.9,,,,,,,,,
2025-01-13 04:49:28,0,11.9,,,,,,,,,
2025-01-13 04:49:29,0,11.9,,,,,,,,,
2025-01-13 04:49:31,0,11.9,,,,,,,,,
2025-01-13 04:49:32,0,11.9,,,,,,,,,
2025-01-13 04:49:33,0,11.9,,,,,,,,,
2025-01-13 04:49:34,0,11.9,,,,,,,,,
2025-01-13 04:49:35,0,11.9,,,,,,,,,
2025-01-13 04:49:36,0,11.9,,,,,,,,,
2025-01-13 04:49:37,0,11.9,,,,,,,,,
2025-01-13 04:49:38,0,11.9,,,,,,,,,
2025-01-13 04:49:39,0,11.9,,,,,,,,,
2025-01-13 04:49:40,0,11.9,,,,,,,,,
2025-01-13 04:49:41,0,11.9,,,,,,,,,
2025-01-13 04:49:42,0,11.9,,,,,,,,,
2025-01-13 04:49:43,0,11.9,,,,,,,,,
2025-01-13 04:49:44,0,11.9,,,,,,,,,
2025-01-13 04:49:45,0,11.9,,,,,,,,,
2025-01-13 04:49:46,0,11.9,,,,,,,,,
2025-01-13 04:49:47,0,11.9,,,,,,,,,
2025-01-13 04:49:48,0,11.9,,,,,,,,,
2025-01-13 04:49:49,0,11.9,,,,,,,,,
2025-01-13 04:49:50,0,11.9,,,,,,,,,
2025-01-13 04:49:51,0,11.9,,,,,,,,,
2025-01-13 04:49:52,0,11.9,,,,,,,,,
2025-01-13 04:49:53,0,11.9,,,,,,,,,
2025-01-13 04:49:54,0,11.9,,,,,,,,,
2025-01-13 04:49:55,0,11.9,,,,,,,,,
2025-01-13 04:49:56,0,11.9,,,,,,,,,
2025-01-13 04:49:57,0,11.9,,,,,,,,,
2025-01-13 04:49:58,0,11.9,,,,,,,,,
2025-01-13 04:49:59,0,11.9,,,,,,,,,
2025-01-13 04:50:00,0,11.9,,,,,,,,,
2025-01-13 04:50:01,0,11.9,,,,,,,,,
2025-01-13 04:50:02,0,11.9,,,,,,,,,
2025-01-13 04:50:03,0,11.9,,,,,,,,,
2025-01-13 04:50:04,0,11.9,,,,,,,,,
2025-01-13 04:50:05,0,11.9,,,,,,,,,
2025-01-13 04:50:06,0,11.9,,,,,,,,,
2025-01-13 04:50:07,0,11.9,,,,,,,,,
2025-01-13 04:50:08,0,11.9,,,,,,,,,
2025-01-13 04:50:09,0,11.9,,,,,,,,,
2025-01-13 04:50:10,0,11.9,,,,,,,,,
2025-01-13 04:50:11,0,11.9,,,,,,,,,
2025-01-13 04:50:12,0,11.9,,,,,,,,,
2025-01-13 04:50:14,0,11.9,,,,,,,,,
2025-01-13 04:50:15,0,11.9,,,,,,,,,
2025-01-13 04:50:16,0,11.9,,,,,,,,,
2025-01-13 04:50:17,0,11.9,,,,,,,,,
2025-01-13 04:50:18,0,11.9,,,,,,,,,
2025-01-13 04:50:19,0,11.97,,,,,,,,,
2025-01-13 04:50:20,0,11.97,,,,,,,,,
2025-01-13 04:50:21,0,11.97,,,,,,,,,
2025-01-13 04:50:22,0,11.97,,,,,,,,,
2025-01-13 04:50:23,0,11.97,,,,,,,,,
2025-01-13 04:50:24,0,12.11,,,,,,,,,
2025-01-13 04:50:25,0,12.11,,,,,,,,,
2025-01-13 04:50:26,0,12.11,,,,,,,,,
2025-01-13 04:50:27,0,12.11,,,,,,,,,
2025-01-13 04:50:28,0,12.11,,,,,,,,,
2025-01-13 04:50:29,0,12.11,,,,,,,,,
2025-01-13 04:50:30,0,12.11,,,,,,,,,
2025-01-13 04:50:31,0,12.11,,,,,,,,,
2025-01-13 04:50:32,0,12.11,,,,,,,,,
2025-01-13 04:50:33,0,12.11,,,,,,,,,
2025-01-13 04:50:34,0,12.11,,,,,,,,,
2025-01-13 04:50:35,0,12.11,,,,,,,,,
2025-01-13 04:50:36,0,12.11,,,,,,,,,
2025-01-13 04:50:37,0,12.11,,,,,,,,,
2025-01-13 04:50:38,0,12.11,,,,,,,,,
2025-01-13 04:50:39,0,12.11,,,,,,,,,
