family,K,lam,final_mean,final_std,auc_mean,auc_std
gafgyt,1,1.0,130.6,24.12135982899803,41.295803313678,15.114382752856274
gafgyt,1,1.5,130.6,24.12135982899803,41.46842258499335,15.006636986678242
gafgyt,1,2.0,130.6,24.12135982899803,41.58298313068085,14.907090850588425
gafgyt,1,2.5,130.6,24.12135982899803,41.58298313068085,14.907090850588425
gafgyt,1,3.0,130.6,24.12135982899803,41.8132988636481,15.129823779371597
gafgyt,1,5.0,130.6,24.12135982899803,41.846543399535875,15.176661941951798
gafgyt,1,10.0,130.6,24.12135982899803,41.83095441699599,15.178713047452685
gafgyt,1,15.0,130.6,24.12135982899803,41.83095441699599,15.178713047452685
gafgyt,1,20.0,130.6,24.12135982899803,41.83095441699599,15.178713047452685
gafgyt,2,0.5,134.8,28.631451238105274,40.471000687065484,15.086710907685516
gafgyt,2,1.0,134.8,28.631451238105274,42.93617691979358,16.325079416550466
gafgyt,2,1.5,134.8,28.631451238105274,43.42381031317548,16.80748908282125
gafgyt,2,2.0,134.8,28.631451238105274,43.46491231307424,16.797535510057738
gafgyt,2,2.5,134.8,28.631451238105274,43.49370946955317,16.815473463309424
gafgyt,2,3.0,134.8,28.631451238105274,43.51389372974513,16.79224342969824
gafgyt,2,5.0,134.8,28.631451238105274,43.593964558533784,16.93085389829347
gafgyt,2,10.0,134.8,28.631451238105274,43.63698553776948,16.960524386660317
gafgyt,2,15.0,134.8,28.631451238105274,43.762082882792036,17.096307781680764
gafgyt,2,20.0,134.8,28.631451238105274,43.762082882792036,17.096307781680764
gafgyt,3,0.5,140.0,35.61460374621625,39.71218469444091,15.367221052492738
gafgyt,3,1.0,140.0,35.61460374621625,45.03650060637393,19.08245440801716
gafgyt,3,1.5,140.0,35.61460374621625,45.28719179233189,19.064143536360422
gafgyt,3,2.0,140.0,35.61460374621625,45.4338967848084,19.139155455468785
gafgyt,3,2.5,140.0,35.61460374621625,45.40144580285364,19.144750551428803
gafgyt,3,3.0,140.0,35.61460374621625,45.536334493416874,19.2873131111187
gafgyt,3,5.0,140.0,35.61460374621625,45.563803163569084,19.27769456178062
gafgyt,3,10.0,140.0,35.61460374621625,45.745235589831694,19.461981970398156
gafgyt,3,15.0,140.0,35.61460374621625,45.75657817881158,19.45807630671795
gafgyt,3,20.0,140.0,35.61460374621625,45.75657817881158,19.45807630671795
gafgyt,4,0.5,140.4,35.57302348690648,38.84605001641185,15.170048297167359
gafgyt,4,1.0,140.4,35.57302348690648,44.79992373027145,18.82291666808745
gafgyt,4,1.5,140.4,35.57302348690648,45.29447730589105,18.91202181251354
gafgyt,4,2.0,140.4,35.57302348690648,45.49795763111366,19.183349148635205
gafgyt,4,2.5,140.4,35.57302348690648,45.600126055483464,19.23599783431646
gafgyt,4,3.0,140.4,35.57302348690648,45.635365438224554,19.263283637632096
gafgyt,4,5.0,140.4,35.57302348690648,45.698662794921404,19.297128048485828
gafgyt,4,10.0,140.4,35.57302348690648,45.89080332895763,19.496606394465214
gafgyt,4,15.0,140.4,35.57302348690648,45.902516047079914,19.492397670176118
gafgyt,4,20.0,140.4,35.57302348690648,45.902516047079914,19.492397670176118
gafgyt,5,0.5,142.8,38.191098439296034,38.567615492833376,15.496329430112512
gafgyt,5,1.0,142.8,38.191098439296034,45.5334165762929,19.871358180271788
gafgyt,5,1.5,142.8,38.191098439296034,46.09515879626146,19.975234299931085
gafgyt,5,2.0,142.8,38.191098439296034,46.296141267111594,20.13449911316109
gafgyt,5,2.5,142.8,38.191098439296034,46.43335586013014,20.267612398655853
gafgyt,5,3.0,142.8,38.191098439296034,46.458795106898236,20.26244733511748
gafgyt,5,5.0,142.8,38.191098439296034,46.63409769327594,20.420469285057166
gafgyt,5,10.0,142.8,38.191098439296034,46.71699805440122,20.49750496113693
